claim,supporting_source,source_date,where_used,review_note
"This reset is not a detox, cleanse, crash diet, or promise. It means pausing for one week, noticing patterns, and choosi",National Diabetes Prevention Program,2024,Welcome and safety,Draft fact-check source mapping; formal medical review pending.
"Habits often need a cue, a routine, and a reward. The smaller the routine, the easier it is to repeat when life gets bus",National Diabetes Prevention Program,2024,How habits work,Draft fact-check source mapping; formal medical review pending.
"Each day asks for one main action. You can repeat a day, skip a day, or adapt the plan. The point is learning, not provi",National Diabetes Prevention Program,2024,Seven-day overview,Draft fact-check source mapping; formal medical review pending.
"Record a normal day without judgment. Notice drinks, meals, movement, sleep, energy, mood, and one thing that felt hard.",National Diabetes Prevention Program,2024,Day 1: notice your starting point,Draft fact-check source mapping; formal medical review pending.
"Use the Mindful Plate method for one meal only. Add vegetables, protein, carbohydrate, and a low-sugar drink if possible",National Diabetes Prevention Program,2024,Day 2: build one balanced meal,Draft fact-check source mapping; formal medical review pending.
"Add one fiber source such as beans, lentils, oats, berries, vegetables, whole grains, nuts, or seeds. Increase gradually",National Diabetes Prevention Program,2024,Day 3: add fiber,Draft fact-check source mapping; formal medical review pending.
"Short activity breaks can help many people. Options include walking, standing, chair movement, stretching, or gentle hou",National Diabetes Prevention Program,2024,Day 4: break up sitting time,Draft fact-check source mapping; formal medical review pending.
"Choose one drink you have often and adjust it. Try less sugar, a smaller size, unsweet tea, water, sparkling water, or a",National Diabetes Prevention Program,2024,Day 5: improve one drink,Draft fact-check source mapping; formal medical review pending.
"A realistic sleep routine may include a consistent wake time, dimmer light, less late caffeine, a wind-down cue, and a p",National Diabetes Prevention Program,2024,Day 6: protect sleep,Draft fact-check source mapping; formal medical review pending.
"Look back at what helped, what felt irritating, and what was too much. Pick one habit to repeat for another week.",National Diabetes Prevention Program,2024,Day 7: prepare next week,Draft fact-check source mapping; formal medical review pending.
"Track drinks for awareness, not judgment. A beverage inventory can reveal one easy place to reduce added sugar.",National Diabetes Prevention Program,2024,Hydration tracker,Draft fact-check source mapping; formal medical review pending.
"Record any movement that is safe for your body. Chair movement, stretching, physical therapy exercises, and short walks ",National Diabetes Prevention Program,2024,Movement tracker,Draft fact-check source mapping; formal medical review pending.
"Use this page to notice meals that kept you satisfied. Write the vegetable, protein, carbohydrate, and fiber source when",National Diabetes Prevention Program,2024,Meal and fiber tracker,Draft fact-check source mapping; formal medical review pending.
"Sleep is affected by stress, shift work, caregiving, pain, medications, breathing problems, and mental health. This page",National Diabetes Prevention Program,2024,Sleep check-in,Draft fact-check source mapping; formal medical review pending.
"Energy can change with meals, sleep, movement, stress, and blood glucose. A simple mood and energy note can help you see",National Diabetes Prevention Program,2024,Mood and energy,Draft fact-check source mapping; formal medical review pending.
"If you monitor glucose, use this page only in the way your care team recommends. Do not chase perfect numbers.",National Diabetes Prevention Program,2024,Optional glucose notes,Draft fact-check source mapping; formal medical review pending.
"Plan for busy days before they arrive. A backup meal, safe movement option, and lower-sugar drink can protect momentum.",National Diabetes Prevention Program,2024,Obstacles and backup plans,Draft fact-check source mapping; formal medical review pending.
"After seven days, continue one or two habits. A prevention plan should fit real life well enough to survive an ordinary ",National Diabetes Prevention Program,2024,30-day continuation,Draft fact-check source mapping; formal medical review pending.
