Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,what is insulin resistance,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,what is insulin resistance,Exact match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,insulin resistance explained,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,insulin resistance explained,Exact match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,how insulin resistance works,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,how insulin resistance works,Exact match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,insulin resistance and blood sugar,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,insulin resistance and blood sugar,Exact match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,insulin sensitivity vs resistance,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,insulin sensitivity vs resistance,Exact match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,insulin signaling and glucose,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,insulin signaling and glucose,Exact match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,learn about insulin resistance,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,learn about insulin resistance,Exact match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,insulin resistance education,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,insulin resistance education,Exact match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,what is a1c,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,what is a1c,Exact match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,what does a1c mean,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,what does a1c mean,Exact match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,a1c test explained,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,a1c test explained,Exact match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,how does a1c work,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,how does a1c work,Exact match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,a1c and blood sugar,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
