file_name,visual_title,source_or_method,license,attribution_required,alt_text
mindful-plate,Mindful Plate,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Start here tonight
digestion,Digestion,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for What happens after we eat?
mindful-plate,Mindful Plate,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for The Mindful Plate method
carb-families,Carb Families,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Carbs without confusion
protein-map,Protein Map,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Protein helps a meal hold together
fiber-ladder,Fiber Ladder,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Fiber is quiet but useful
drink-comparison,Drink Comparison,Original ReportLab vector drawing in canonical generator,Created for this project,No,"Educational graphic for Fat adds flavor, texture, and staying power"
breakfast-grid,Breakfast Grid,Original ReportLab vector drawing in canonical generator,Created for this project,No,"Educational graphic for Breakfasts, if breakfast fits your day"
lunch-grid,Lunch Grid,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Lunches that do not require a fresh start
dinner-grid,Dinner Grid,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Dinners can honor culture and still be balanced
snack-grid,Snack Grid,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Snacks are optional
drink-comparison,Drink Comparison,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Drinks and hidden sugars
portion-guide,Portion Guide,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Portions without weighing everything
menu-table,Menu Table,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Three days of flexible ideas
grocery-list,Grocery List,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Grocery starter list
myth-grid,Myth Grid,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for A few food questions people ask all the time
