file_name,visual_title,source_or_method,license,attribution_required,alt_text
smart-cart,Smart Cart,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Before you shop
smart-cart,Smart Cart,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for The five-part cart formula
fresh-frozen-canned,Fresh Frozen Canned,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Produce
freezer-staples,Freezer Staples,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Frozen foods
pantry-cards,Pantry Cards,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Canned foods
protein-map,Protein Map,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Protein choices
plant-proteins,Plant Proteins,Original ReportLab vector drawing in canonical generator,Created for this project,No,"Educational graphic for Beans, lentils, tofu, and plant proteins"
grain-label,Grain Label,Original ReportLab vector drawing in canonical generator,Created for this project,No,"Educational graphic for Breads, grains, cereals, and tortillas"
dairy-cards,Dairy Cards,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Dairy and alternatives
snack-formula,Snack Formula,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Snacks
drink-comparison,Drink Comparison,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Drinks
label-map,Label Map,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Reading the Nutrition Facts label
sugar-names,Sugar Names,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Total carbohydrate and added sugar
fiber-ladder,Fiber Ladder,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Fiber
sodium-label,Sodium Label,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Sodium
claims,Claims,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Ingredient lists and marketing claims
budget-cart,Budget Cart,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Budget strategies
meal-formula,Meal Formula,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Ten-minute meal formulas
