page,claim,supporting_source,source_date,review_note
Welcome,"This reset means pausing, observing, and creating a few useful routines. It is not a detox, crash diet, or promise.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Habits,"Habits often need a cue, a routine, and a reward. The smaller the routine, the easier it is to repeat when life gets busy.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Overview,"Each day asks for one main action. You can repeat a day, skip a day, or adapt the plan. The point is learning, not proving anything.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Day 1,"Record a normal day without judgment. Notice drinks, meals, movement, sleep, energy, mood, and one thing that felt hard.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Day 2,"Use the Mindful Plate method for one meal only. Add vegetables, protein, carbohydrate, and a lower-sugar drink if possible.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Day 3,"Add one fiber source such as beans, lentils, oats, berries, vegetables, whole grains, nuts, or seeds. Increase gradually and drink fluids.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Day 4,"Short activity breaks can help many people. Options include walking, standing, chair movement, stretching, or gentle household tasks.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Day 5,"Choose one drink you have often and adjust it. Try less sugar, a smaller size, unsweet tea, water, sparkling water, or a gradual step-down.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Day 6,"A realistic sleep routine may include a consistent wake time, dimmer light, less late caffeine, a wind-down cue, and a plan for pain, caregiving, or work shifts",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Day 7,"Look back at what helped, what felt irritating, and what was too much. Pick one habit to repeat for another week.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Hydration tracker,"Track drinks for awareness, not judgment. A beverage inventory can reveal one easy place to reduce added sugar.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Movement tracker,"Record movement that is safe for your body. Chair movement, stretching, physical therapy exercises, and short walks all count as information.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Meal and fiber tracker,"Use this page to notice meals that kept you satisfied. Write the vegetable, protein, carbohydrate, and fiber source when you can.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Sleep check-in,"Sleep is affected by stress, shift work, caregiving, pain, medications, breathing problems, and mental health. This page helps you notice what is changeable.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Mood and energy,"Energy can change with meals, sleep, movement, stress, and blood glucose. A simple mood and energy note can help you see patterns.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Glucose notes,"If you monitor glucose, use this page only in the way your care team recommends. Do not chase perfect numbers.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Obstacles,"Plan for busy days before they arrive. A backup meal, safe movement option, and lower-sugar drink can protect momentum.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
30-day plan,"After seven days, continue one or two habits. A prevention plan should fit real life well enough to survive an ordinary month.",What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
Next steps,Keep one or two helpful routines. Drop what was unrealistic. Add one next step only when the current habit feels repeatable.,What Is the National Diabetes Prevention Program?,2024,Draft source mapping; formal medical review pending.
