claim,supporting_source,source_date,where_used,review_note
"A good grocery trip starts before the store. Check what you already have, choose two or three meals, and pick backup foo",How to Understand and Use the Nutrition Facts Label,2024,Before you shop,Draft fact-check source mapping; formal medical review pending.
"Build around vegetables, protein, fiber-rich carbohydrates, healthy fats, and flavor builders. This keeps shopping pract",How to Understand and Use the Nutrition Facts Label,2024,The five-part cart,Draft fact-check source mapping; formal medical review pending.
"Choose vegetables and fruits you will actually eat. Fresh produce is wonderful, but it is not the only way to eat well.",How to Understand and Use the Nutrition Facts Label,2024,Produce,Draft fact-check source mapping; formal medical review pending.
"Frozen vegetables and fruit can be affordable, quick, and nutritious. Look for options without heavy sauces or added sug",How to Understand and Use the Nutrition Facts Label,2024,Frozen foods,Draft fact-check source mapping; formal medical review pending.
"Canned beans, tuna, salmon, vegetables, tomato products, and soups can help on low-energy days. Rinsing canned beans or ",How to Understand and Use the Nutrition Facts Label,2024,Canned foods,Draft fact-check source mapping; formal medical review pending.
"Protein can come from eggs, fish, poultry, lean meat, tofu, tempeh, yogurt, cottage cheese, beans, lentils, nuts, and se",How to Understand and Use the Nutrition Facts Label,2024,Protein choices,Draft fact-check source mapping; formal medical review pending.
"Beans, lentils, tofu, tempeh, and edamame can support filling meals. They are useful in soups, tacos, bowls, stir-fries,",How to Understand and Use the Nutrition Facts Label,2024,Plant proteins,Draft fact-check source mapping; formal medical review pending.
"Look for grains and breads that bring fiber and fit your glucose plan. Whole grain, serving size, and total carbohydrate",How to Understand and Use the Nutrition Facts Label,2024,Breads and grains,Draft fact-check source mapping; formal medical review pending.
"Milk and yogurt contain carbohydrate. Plain yogurt, unsweetened fortified soy milk, and lower-sugar options may fit many",How to Understand and Use the Nutrition Facts Label,2024,Dairy and alternatives,Draft fact-check source mapping; formal medical review pending.
A snack can be planned or it can become accidental grazing. Pair protein or fat with fiber when you want something that ,How to Understand and Use the Nutrition Facts Label,2024,Snacks,Draft fact-check source mapping; formal medical review pending.
Sweet drinks can add sugar quickly. Start by improving one drink you have often rather than overhauling every beverage.,How to Understand and Use the Nutrition Facts Label,2024,Drinks,Draft fact-check source mapping; formal medical review pending.
"Start with serving size, then check total carbohydrate, fiber, added sugar, saturated fat, and sodium. Percent Daily Val",How to Understand and Use the Nutrition Facts Label,2024,Nutrition Facts label,Draft fact-check source mapping; formal medical review pending.
"Total carbohydrate includes starches, fiber, sugars, and added sugars. Added sugars are added during processing or packa",How to Understand and Use the Nutrition Facts Label,2024,Carbs and added sugar,Draft fact-check source mapping; formal medical review pending.
Fiber can support fullness and steadier meals. The Nutrition Facts label lists dietary fiber in grams and Percent Daily ,How to Understand and Use the Nutrition Facts Label,2024,Fiber,Draft fact-check source mapping; formal medical review pending.
"The FDA Daily Value for sodium is less than 2,300 mg per day. Many packaged foods vary widely, so comparing labels can h",How to Understand and Use the Nutrition Facts Label,2024,Sodium,Draft fact-check source mapping; formal medical review pending.
"Front labels can be useful, but they are not the whole story. Natural, keto, diabetic-friendly, low-fat, sugar-free, and",How to Understand and Use the Nutrition Facts Label,2024,Ingredient lists and claims,Draft fact-check source mapping; formal medical review pending.
"Use store brands, frozen vegetables, canned beans, oats, eggs, lentils, rice, seasonal produce, and planned leftovers.",How to Understand and Use the Nutrition Facts Label,2024,Budget strategies,Draft fact-check source mapping; formal medical review pending.
"Fast meals can still have structure: heat a base, add protein, add vegetables, add flavor, and choose a drink.",How to Understand and Use the Nutrition Facts Label,2024,Ten-minute meals,Draft fact-check source mapping; formal medical review pending.
