nct_id,url,brief_title,official_title,overall_status,study_type,phase,primary_purpose,category,participant_stage,enrollment,lead_sponsor,interventions,conditions,countries,has_us_site,country_count,location_count,multinational,has_public_locations,study_first_post_date,last_update_post_date,start_date,primary_completion_date,completion_date,primary_outcomes,excluded_reason
NCT00064870,https://clinicaltrials.gov/study/NCT00064870,Alzheimer's Disease Genetics Study,National Centralized Repository for Alzheimer's Disease and Related Dementias (NCRAD),RECRUITING,OBSERVATIONAL,NOT_APPLICABLE,,Other Alzheimer clinical studies,Mixed or not specified,10000,Indiana University,,Alzheimer Disease; Late Onset Alzheimer Disease; Dementia,United States,True,1,1,False,True,2003-07-16,2025-10-01,2002-06,2026-07,2026-07,Distribute biological specimens to qualified investigators for use in their research studies.,
NCT00585572,https://clinicaltrials.gov/study/NCT00585572,Wisconsin Brain Donor Program,University of Wisconsin-Madison: Wisconsin Brain Donor Program (WBDP),ENROLLING_BY_INVITATION,OBSERVATIONAL,NOT_APPLICABLE,,"Diagnostics, imaging, and biomarkers",Preclinical or elevated-risk,9999,"University of Wisconsin, Madison",,Alzheimer's Disease; Mild Cognitive Impairment,United States,True,1,1,False,True,2008-01-03,2025-08-08,2007-03,2050-08,2050-08,,
NCT00874783,https://clinicaltrials.gov/study/NCT00874783,Development of IPS from Donated Somatic Cells of Patients with Neurological Diseases,Derivation of Induced Pluripotent Stem Cells from Somatic Cells Donated by Patients with Neurological Diseases for the Study of the Pathogenesis of the Disorders and Development of Novel Therapies,RECRUITING,OBSERVATIONAL,NOT_APPLICABLE,,Other Alzheimer clinical studies,Mixed or not specified,120,Hadassah Medical Organization,,Neurodegenerative Disorders,Israel,False,1,1,False,True,2009-04-03,2025-03-04,2009-04,2030-12,2030-12,,
NCT01334749,https://clinicaltrials.gov/study/NCT01334749,Observational Study on Determinants of Dementia After Stroke,Determinants of Dementia After Stroke,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,NOT_APPLICABLE,,"Diagnostics, imaging, and biomarkers",Mixed or not specified,736,Ludwig-Maximilians - University of Munich,,Ischemic Stroke; Hemorrhagic Stroke,Germany,False,1,5,False,True,2011-04-13,2024-03-20,2011-04,2029-01,2029-01,dementia occurrence; dementia occurrence,
NCT01606488,https://clinicaltrials.gov/study/NCT01606488,Effects of Brain Beta-Amyloid on Postoperative Cognition,Effects of Brain Beta Amyloid on Postoperative Cognition and 18F-AV-45-A14: Clinical Evaluation of Florbetapir F 18 (18F-AV-45),ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE4,DIAGNOSTIC,"Diagnostics, imaging, and biomarkers",Moderate or later dementia,66,"University of California, San Francisco",Florbetapir F 18 (18F-AV-45); no intervention,Postoperative Cognitive Dysfunction,United States,True,1,1,False,True,2012-05-25,2025-05-01,2012-05,2026-06,2026-06,Cognitive Decline,
NCT02022943,https://clinicaltrials.gov/study/NCT02022943,Alzheimer's Prevention Registry: A Program to Accelerate Enrollment Into Studies,Alzheimer's Prevention Registry,RECRUITING,OBSERVATIONAL,NOT_APPLICABLE,,Lifestyle and multidomain,Mixed or not specified,500000,Banner Health,,Alzheimer's Disease; Dementia,United States,True,1,1,False,True,2013-12-30,2025-12-16,2012-05,2030-01,2030-01,Number of individuals enrolled into Alzheimer's prevention studies,
NCT02302482,https://clinicaltrials.gov/study/NCT02302482,Predictive Factors and Autonomy Level Change,Predictive Factors of the Autonomy Level Change Related to Memory Disorders,RECRUITING,INTERVENTIONAL,NA,HEALTH_SERVICES_RESEARCH,Other interventional treatment research,Mixed or not specified,10860,Hospices Civils de Lyon,"The Lawton Instrumental Activities of Daily Living score (IADL), and the disability assessment of dementia score (DAD-6",Memory Impairment,France,False,1,2,False,True,2014-11-27,2021-06-28,2014-11,2027-11,2027-11,Functional autonomy level,
NCT02386670,https://clinicaltrials.gov/study/NCT02386670,Prevention of Alzheimer's Disease With CR Plus tDCS in Mild Cognitive Impairment and Depression (PACt-MD),Prevention of Alzheimer's Dimentia With Cognitive Remediation Plus Transcranial Direct Current Stimulation in Mild Cognitive Impairment and Depression,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,PREVENTION,Lifestyle and multidomain,MCI or prodromal Alzheimer’s,375,Centre for Addiction and Mental Health,tDCS + CR; sham tDCS + sham CR,"Mild Cognitive Impairment; Major Depressive Disorder, Recurrent, In Remission; Major Depressive Disorder, Single Episode, in Full Remission",Canada,False,1,5,False,True,2015-03-12,2026-04-09,2015-01,2022-12-31,2026-12-31,Change in cognitive scores over time,
NCT02402426,https://clinicaltrials.gov/study/NCT02402426,Brain Health Registry: An Online Registry to Identify and Assess Subjects for Brain Research,Brain Health Registry - Online Registry for Brain Research,ENROLLING_BY_INVITATION,OBSERVATIONAL,NOT_APPLICABLE,,"Care, behavior, and quality of life",Mixed or not specified,200000,"University of California, San Francisco",,Healthy; Neurodegenerative Disease,United States,True,1,1,False,True,2015-03-30,2026-01-13,2013-09,2030-09,2030-09,Alzheimer's Disease,
NCT02414178,https://clinicaltrials.gov/study/NCT02414178,F 18 T807 Tau PET Imaging in Dominantly Inherited Alzheimer's Network (DIAN Project),"F 18 T807 Tau PET Imaging in Dominantly Inherited Alzheimer's Network (IND 123119, Protocol D",ENROLLING_BY_INVITATION,OBSERVATIONAL,NOT_APPLICABLE,,"Diagnostics, imaging, and biomarkers",MCI or prodromal Alzheimer’s,130,Washington University School of Medicine,F 18 T807,Alzheimer Disease,United States,True,1,1,False,True,2015-04-10,2026-06-09,2021-03-01,2027-01,2027-01,"F 18 T807 Standard Uptake Value Ratios (SUVR) will be correlated with other imaging modalities (MRI, PET amyloid imaging) and cognitive performance.",
