Row Type,Action,Asset action,Customer ID,Level,Campaign ID,Campaign,Ad group ID,Ad group,Item ID,Callout text,Schedules,Start date,End date,Device preference type,Row tag
Callout,Add,Create new,,Campaign,,MD | Search | Insulin Resistance,,,,Free Educational Guides,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Insulin Resistance,,,,Nonprofit Health Guides,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Insulin Resistance,,,,Plain-Language Resources,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Insulin Resistance,,,,Sources Included,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Insulin Resistance,,,,Educational Support Only,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Insulin Resistance,,,,No Medical Diagnosis,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | A1C Education,,,,Free Educational Guides,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | A1C Education,,,,Nonprofit Health Guides,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | A1C Education,,,,Plain-Language Resources,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | A1C Education,,,,Sources Included,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | A1C Education,,,,Educational Support Only,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | A1C Education,,,,No Medical Diagnosis,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,Free Educational Guides,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,Nonprofit Health Guides,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,Plain-Language Resources,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,Sources Included,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,Educational Support Only,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,No Medical Diagnosis,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Fasting Glucose,,,,Free Educational Guides,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Fasting Glucose,,,,Nonprofit Health Guides,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Fasting Glucose,,,,Plain-Language Resources,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Fasting Glucose,,,,Sources Included,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Fasting Glucose,,,,Educational Support Only,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Fasting Glucose,,,,No Medical Diagnosis,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Type 3 Diabetes,,,,Free Educational Guides,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Type 3 Diabetes,,,,Nonprofit Health Guides,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Type 3 Diabetes,,,,Plain-Language Resources,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Type 3 Diabetes,,,,Sources Included,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Type 3 Diabetes,,,,Educational Support Only,,,,,
Callout,Add,Create new,,Campaign,,MD | Search | Type 3 Diabetes,,,,No Medical Diagnosis,,,,,
