Row Type,Action,Asset action,Customer ID,Level,Campaign ID,Campaign,Ad group ID,Ad group,Item ID,Sitelink text,Final URL,Mobile final URL,Final URL suffix,Description,Description 2,Tracking template,Custom parameter,Schedules,Start date,End date,Device preference type,Row tag
Sitelink,Add,Create new,,Campaign,,MD | Search | Insulin Resistance,,,,All Health Resources,https://www.mindfuldiabetes.ai/resources,,,Browse free educational guides,Explore blood sugar and brain,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Insulin Resistance,,,,Insulin Resistance,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,Learn insulin resistance basics,Understand insulin and glucose,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Insulin Resistance,,,,Understanding A1C,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,Learn what A1C can reflect,Put A1C into broader context,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Insulin Resistance,,,,Fasting Glucose Guide,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,Understand fasting glucose,Learn how context may matter,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Insulin Resistance,,,,Blood Sugar After Meals,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,Explore post-meal glucose,Learn what can shape patterns,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Insulin Resistance,,,,Brain Health Research,https://www.mindfuldiabetes.ai/resources/brain-health-and-alzheimers,,,Explore metabolic brain health,Learn carefully framed research,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | A1C Education,,,,All Health Resources,https://www.mindfuldiabetes.ai/resources,,,Browse free educational guides,Explore blood sugar and brain,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | A1C Education,,,,Insulin Resistance,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,Learn insulin resistance basics,Understand insulin and glucose,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | A1C Education,,,,Understanding A1C,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,Learn what A1C can reflect,Put A1C into broader context,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | A1C Education,,,,Fasting Glucose Guide,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,Understand fasting glucose,Learn how context may matter,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | A1C Education,,,,Blood Sugar After Meals,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,Explore post-meal glucose,Learn what can shape patterns,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | A1C Education,,,,Brain Health Research,https://www.mindfuldiabetes.ai/resources/brain-health-and-alzheimers,,,Explore metabolic brain health,Learn carefully framed research,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,All Health Resources,https://www.mindfuldiabetes.ai/resources,,,Browse free educational guides,Explore blood sugar and brain,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,Insulin Resistance,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,Learn insulin resistance basics,Understand insulin and glucose,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,Understanding A1C,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,Learn what A1C can reflect,Put A1C into broader context,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,Fasting Glucose Guide,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,Understand fasting glucose,Learn how context may matter,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,Blood Sugar After Meals,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,Explore post-meal glucose,Learn what can shape patterns,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,Brain Health Research,https://www.mindfuldiabetes.ai/resources/brain-health-and-alzheimers,,,Explore metabolic brain health,Learn carefully framed research,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Fasting Glucose,,,,All Health Resources,https://www.mindfuldiabetes.ai/resources,,,Browse free educational guides,Explore blood sugar and brain,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Fasting Glucose,,,,Insulin Resistance,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,Learn insulin resistance basics,Understand insulin and glucose,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Fasting Glucose,,,,Understanding A1C,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,Learn what A1C can reflect,Put A1C into broader context,,,,,,,
Sitelink,Add,Create new,,Campaign,,MD | Search | Fasting Glucose,,,,Fasting Glucose Guide,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,Understand fasting glucose,Learn how context may matter,,,,,,,
