file_name,visual_title,source_or_method,license,attribution_required,alt_text
food-sources,Food Sources,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Fat is not something to fear
fat-types,Fat Types,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for What dietary fat does in the body
fat-types,Fat Types,Original ReportLab vector drawing in canonical generator,Created for this project,No,"Educational graphic for Saturated, unsaturated, and trans fats"
replacement-pathway,Replacement Pathway,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Why replacement matters
lipid-cards,Lipid Cards,Original ReportLab vector drawing in canonical generator,Created for this project,No,"Educational graphic for LDL, HDL, and triglycerides"
oil-chart,Oil Chart,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Cooking oils
food-sources,Food Sources,Original ReportLab vector drawing in canonical generator,Created for this project,No,"Educational graphic for Nuts, seeds, and avocado"
fish-source,Fish Source,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Fish and omega-3 fats
dairy-swap,Dairy Swap,Original ReportLab vector drawing in canonical generator,Created for this project,No,"Educational graphic for Butter, cheese, cream, and full-fat dairy"
tropical-oils,Tropical Oils,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Coconut and palm oils
fried-pattern,Fried Pattern,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Fried and ultra-processed foods
label-map,Label Map,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Reading the Nutrition Facts label
breakfast-swap,Breakfast Swap,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Breakfast swaps
meal-swap,Meal Swap,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Lunch and dinner swaps
snack-swap,Snack Swap,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Snack swaps
budget-fats,Budget Fats,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Budget-friendly fats
fat-myths,Fat Myths,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Myths and frequently asked questions
