page,claim,supporting_source,source_date,review_note
Mission,"Mindful Diabetes connects education, prevention, research awareness, and practical tools at the intersection of metabolic and brain health. The goal is clarity,",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Glucose basics,"Glucose is one of the body's energy sources. The brain uses glucose, but it also depends on steady blood flow, oxygen, sleep, and many other supports.",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Insulin,Insulin helps move glucose from the blood into cells. Diabetes care often includes supporting glucose levels near a personal target range. [12],Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Insulin resistance,Insulin resistance means cells do not respond to insulin as easily. The body may need more insulin to move glucose into cells.,Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Brain energy,The brain is sensitive to glucose changes. CDC notes that both high and low blood sugar can affect the brain and blood vessels. [12],Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Blood vessels,"Blood vessels carry oxygen and nutrients to the brain. Diabetes, high blood pressure, and cholesterol concerns can affect vascular health over time.",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
High glucose,Frequent hyperglycemia can stress blood vessels and nerves. Effects may build slowly and are not always obvious in the moment. [12],Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Low glucose,"Hypoglycemia can cause shakiness, dizziness, confusion, trouble speaking, seizures, or loss of consciousness. It can be urgent, especially for people using insu",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Cognitive risk,"Diabetes is associated with increased risk for cognitive problems and dementia, but it does not make dementia inevitable. Dementia has many causes and contribut",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Risk meaning,"Risk describes probability across groups. It cannot tell you what will happen to one person. Habits, medical care, social factors, genetics, and environment all",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
BP and cholesterol,"Managing blood pressure and cholesterol can support heart and brain health. NIA and CDC identify vascular health as part of cognitive-health protection. [13,14]",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Activity,"Regular physical activity can support cardiovascular, metabolic, mood, sleep, and brain health. Start with what is safe and possible.",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Food patterns,"Food patterns that include vegetables, fruits, legumes, whole grains, lean or plant proteins, and unsaturated fat sources can support metabolic and cardiovascul",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Sleep,"Sleep problems can affect mood, energy, glucose patterns, and daily decision-making. A realistic sleep plan may require medical care.",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Smoking and alcohol,"Smoking and excessive alcohol use are dementia risk factors identified by public-health sources and dementia-prevention research. [13,15]",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Connection,"Hearing loss, vision problems, depression, and social isolation can affect cognitive health and quality of life. [13,14,15]",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Clinician questions,"Bring questions about A1C, blood pressure, cholesterol, medicines, low-glucose risk, memory changes, sleep, hearing, and family history.",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Family history,"Family history can help guide questions, but it does not determine your future. Write what you know and leave blanks where you are unsure.",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Health numbers,Use this page to keep clinician-selected targets in one place. Store completed health information securely.,Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Can and cannot,"Healthy routines may help reduce risk and support daily function. They do not guarantee prevention of Alzheimer's disease, reverse every case of diabetes, or re",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
Next steps,"Use this guide to ask better questions, not to predict your future. Share memory concerns, sudden confusion, severe glucose symptoms, or major changes with qual",Your Brain and Diabetes,2024,Draft source mapping; formal medical review pending.
