Row Type,Action,Keyword status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,treatment,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,treatment,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,treatment,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,treatment,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,treatment,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,cure,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,cure,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,cure,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,cure,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,cure,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,diagnose,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,diagnose,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,diagnose,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,diagnose,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,diagnose,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,diagnosis,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,diagnosis,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,diagnosis,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,diagnosis,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,diagnosis,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,medication,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,medication,Phrase match
