page,claim,supporting_source,source_date,review_note
Before shopping,"A good grocery trip starts before the store. Check what you already have, choose two or three meals, and pick backup foods for busy days.",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Five-part cart,"Build around vegetables, protein, fiber-rich carbohydrates, healthy fats, and flavor builders. This keeps shopping practical without depending on one brand or d",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Produce,"Choose vegetables and fruits you will actually eat. Fresh produce is wonderful, but it is not the only way to eat well.",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Frozen foods,"Frozen vegetables and fruit can be affordable, quick, and nutritious. Look for options without heavy sauces or added sugars when possible.",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Canned foods,"Canned beans, tuna, salmon, vegetables, tomato products, and soups can help on low-energy days. Rinsing canned beans or vegetables can lower sodium.",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Protein,"Protein can come from eggs, fish, poultry, lean meat, tofu, tempeh, yogurt, cottage cheese, beans, lentils, nuts, and seeds.",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Plant proteins,"Beans, lentils, tofu, tempeh, and edamame can support filling meals. They are useful in soups, tacos, bowls, stir-fries, curries, and salads.",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Grains,"Look for grains and breads that bring fiber and fit your glucose plan. Whole grain, serving size, and total carbohydrate are more useful than marketing claims a",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Dairy,"Milk and yogurt contain carbohydrate. Plain yogurt, unsweetened fortified soy milk, and lower-sugar options may fit many plans, but allergies and preferences va",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Snacks,A snack can be planned or it can become accidental grazing. Pair protein or fat with fiber when you want something that lasts longer.,How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Drinks,Sweet drinks can add sugar quickly. Start by improving one drink you have often rather than overhauling every beverage.,How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Label,"Start with serving size, then check total carbohydrate, fiber, added sugar, saturated fat, and sodium. Percent Daily Value helps compare nutrients. [3]",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Carbs and sugar,"Total carbohydrate includes starches, fiber, sugars, and added sugars. Added sugars are added during processing or packaging, while naturally occurring sugars c",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Fiber,Fiber can support fullness and steadier meals. The Nutrition Facts label lists dietary fiber in grams and Percent Daily Value.,How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Sodium,"The FDA Daily Value for sodium is less than 2,300 mg per day. Many packaged foods vary widely, so comparing labels can help. [5]",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Claims,"Front labels can be useful, but they are not the whole story. Natural, keto, diabetic-friendly, low-fat, sugar-free, and no sugar added still deserve a label ch",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Budget,"Use store brands, frozen vegetables, canned beans, oats, eggs, lentils, rice, seasonal produce, and planned leftovers.",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Fast meals,"Fast meals can still have structure: heat a base, add protein, add vegetables, add flavor, and choose a drink.",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Checklist,"Use this list as a starting point. Add what fits your family, budget, culture, and medical needs.",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
Next steps,"Save one list that worked, one backup meal, and one label comparison. The next trip gets easier when you do not start from scratch.",How to Understand and Use the Nutrition Facts Label,2024,Draft source mapping; formal medical review pending.
