page,claim,supporting_source,source_date,review_note
Welcome,"If food advice has started to feel like a stack of rules, this guide is meant to lower the noise. The Mindful Plate is a flexible way to assemble meals that inc",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Quick start,"Choose one meal, not your whole life. Use the plate as a quick visual check, then adapt it to the food you actually have.",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Food and blood sugar,"During digestion, the body breaks food into smaller parts. Carbohydrate foods usually have the most direct effect on blood glucose because many carbohydrates br",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Plate method,"A common diabetes plate pattern uses about one-half non-starchy vegetables, one-quarter protein, one-quarter carbohydrate, and water or another low-calorie drin",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Carbohydrates,"Carbohydrates are found in grains, starchy vegetables, fruit, milk, yogurt, beans, lentils, sweets, and sugary drinks. They are not automatically forbidden. The",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Protein,"Protein foods can support fullness and help make a meal feel more steady. They may come from animal or plant sources, and budget options count.",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Fiber,"Fiber is a type of carbohydrate the body does not fully digest. Many fiber-rich foods can support fullness, bowel regularity, cholesterol patterns, and steadier",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Dietary fat,"Dietary fat is an essential nutrient. The type and food source matter. A heart-health pattern usually emphasizes unsaturated fats from nuts, seeds, avocado, fis",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Breakfasts,"Not everyone wants or needs breakfast. If you do eat it, breakfast can be a useful place to add protein, fiber, and a lower-sugar drink.",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Lunches,"Lunch often happens between work, caregiving, school, appointments, or errands. It does not need to be a recipe. Think in pieces: colorful food, protein, fiber,",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Dinners,"Healthy eating should not erase family food. Many traditional meals already include vegetables, beans, lentils, fish, lean meats, yogurt, grains, herbs, spices,",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Snacks,"Some people feel better with planned snacks. Others do not need them. Snacks may be useful if meals are far apart, activity changes glucose, medication timing m",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Drinks,"Sugary drinks can raise blood glucose quickly because they are easy to drink fast and do not bring much fiber or fullness. Soda, sweet tea, juice, energy drinks",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Portions,"Portions do not need to be exact to be useful. The plate method gives a visual estimate. Labels give serving sizes. Cups, bowls, and hand-based estimates can he",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Sample menu,"These are examples, not a prescription. Your calorie, carbohydrate, protein, sodium, kidney, allergy, pregnancy, medication, and glucose needs may be different.",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Worksheet,"Choose one meal you already eat. Write down what you could add, reduce, swap, or prepare ahead. Keep the change small enough that you can actually try it.",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Shopping,"Use this as a starter list, not a rule. Frozen, canned, dried, and store-brand foods can be practical.",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Questions and myths,"Food questions are normal because nutrition advice can be noisy. These short answers are designed to reduce fear, not replace personal guidance.",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
Next steps,"Pick one page to use this week. You might build one balanced dinner, improve one drink, or complete the meal worksheet.",Standards of Care in Diabetes - 2026,2026,Draft source mapping; formal medical review pending.
