Campaign,Negative keyword,Match type
MD | Search | Insulin Resistance,treatment,Phrase
MD | Search | A1C Education,treatment,Phrase
MD | Search | Post-Meal Blood Sugar,treatment,Phrase
MD | Search | Fasting Glucose,treatment,Phrase
MD | Search | Type 3 Diabetes,treatment,Phrase
MD | Search | Insulin Resistance,cure,Phrase
MD | Search | A1C Education,cure,Phrase
MD | Search | Post-Meal Blood Sugar,cure,Phrase
MD | Search | Fasting Glucose,cure,Phrase
MD | Search | Type 3 Diabetes,cure,Phrase
MD | Search | Insulin Resistance,diagnose,Phrase
MD | Search | A1C Education,diagnose,Phrase
MD | Search | Post-Meal Blood Sugar,diagnose,Phrase
MD | Search | Fasting Glucose,diagnose,Phrase
MD | Search | Type 3 Diabetes,diagnose,Phrase
MD | Search | Insulin Resistance,diagnosis,Phrase
MD | Search | A1C Education,diagnosis,Phrase
MD | Search | Post-Meal Blood Sugar,diagnosis,Phrase
MD | Search | Fasting Glucose,diagnosis,Phrase
MD | Search | Type 3 Diabetes,diagnosis,Phrase
MD | Search | Insulin Resistance,medication,Phrase
MD | Search | A1C Education,medication,Phrase
MD | Search | Post-Meal Blood Sugar,medication,Phrase
MD | Search | Fasting Glucose,medication,Phrase
MD | Search | Type 3 Diabetes,medication,Phrase
MD | Search | Insulin Resistance,prescription,Phrase
MD | Search | A1C Education,prescription,Phrase
MD | Search | Post-Meal Blood Sugar,prescription,Phrase
MD | Search | Fasting Glucose,prescription,Phrase
MD | Search | Type 3 Diabetes,prescription,Phrase
MD | Search | Insulin Resistance,dosage,Phrase
MD | Search | A1C Education,dosage,Phrase
MD | Search | Post-Meal Blood Sugar,dosage,Phrase
MD | Search | Fasting Glucose,dosage,Phrase
MD | Search | Type 3 Diabetes,dosage,Phrase
MD | Search | Insulin Resistance,metformin,Phrase
MD | Search | A1C Education,metformin,Phrase
MD | Search | Post-Meal Blood Sugar,metformin,Phrase
MD | Search | Fasting Glucose,metformin,Phrase
MD | Search | Type 3 Diabetes,metformin,Phrase
MD | Search | Insulin Resistance,ozempic,Phrase
MD | Search | A1C Education,ozempic,Phrase
MD | Search | Post-Meal Blood Sugar,ozempic,Phrase
MD | Search | Fasting Glucose,ozempic,Phrase
MD | Search | Type 3 Diabetes,ozempic,Phrase
MD | Search | Insulin Resistance,mounjaro,Phrase
MD | Search | A1C Education,mounjaro,Phrase
MD | Search | Post-Meal Blood Sugar,mounjaro,Phrase
MD | Search | Fasting Glucose,mounjaro,Phrase
MD | Search | Type 3 Diabetes,mounjaro,Phrase
MD | Search | Insulin Resistance,semaglutide,Phrase
MD | Search | A1C Education,semaglutide,Phrase
MD | Search | Post-Meal Blood Sugar,semaglutide,Phrase
MD | Search | Fasting Glucose,semaglutide,Phrase
MD | Search | Type 3 Diabetes,semaglutide,Phrase
MD | Search | Insulin Resistance,supplement,Phrase
MD | Search | A1C Education,supplement,Phrase
MD | Search | Post-Meal Blood Sugar,supplement,Phrase
MD | Search | Fasting Glucose,supplement,Phrase
MD | Search | Type 3 Diabetes,supplement,Phrase
MD | Search | Insulin Resistance,supplements,Phrase
MD | Search | A1C Education,supplements,Phrase
MD | Search | Post-Meal Blood Sugar,supplements,Phrase
MD | Search | Fasting Glucose,supplements,Phrase
MD | Search | Type 3 Diabetes,supplements,Phrase
MD | Search | Insulin Resistance,doctor near me,Phrase
MD | Search | A1C Education,doctor near me,Phrase
MD | Search | Post-Meal Blood Sugar,doctor near me,Phrase
MD | Search | Fasting Glucose,doctor near me,Phrase
MD | Search | Type 3 Diabetes,doctor near me,Phrase
MD | Search | Insulin Resistance,clinic near me,Phrase
MD | Search | A1C Education,clinic near me,Phrase
MD | Search | Post-Meal Blood Sugar,clinic near me,Phrase
MD | Search | Fasting Glucose,clinic near me,Phrase
MD | Search | Type 3 Diabetes,clinic near me,Phrase
MD | Search | Insulin Resistance,endocrinologist near me,Phrase
MD | Search | A1C Education,endocrinologist near me,Phrase
MD | Search | Post-Meal Blood Sugar,endocrinologist near me,Phrase
MD | Search | Fasting Glucose,endocrinologist near me,Phrase
MD | Search | Type 3 Diabetes,endocrinologist near me,Phrase
MD | Search | Insulin Resistance,jobs,Phrase
MD | Search | A1C Education,jobs,Phrase
MD | Search | Post-Meal Blood Sugar,jobs,Phrase
MD | Search | Fasting Glucose,jobs,Phrase
MD | Search | Type 3 Diabetes,jobs,Phrase
MD | Search | Insulin Resistance,salary,Phrase
MD | Search | A1C Education,salary,Phrase
MD | Search | Post-Meal Blood Sugar,salary,Phrase
MD | Search | Fasting Glucose,salary,Phrase
MD | Search | Type 3 Diabetes,salary,Phrase
