Campaign,Link text,Description line 1,Description line 2,Final URL
MD | Search | Insulin Resistance,All Health Resources,Browse free educational guides,Explore blood sugar and brain,https://www.mindfuldiabetes.ai/resources
MD | Search | Insulin Resistance,Insulin Resistance,Learn insulin resistance basics,Understand insulin and glucose,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Understanding A1C,Learn what A1C can reflect,Put A1C into broader context,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | Insulin Resistance,Fasting Glucose Guide,Understand fasting glucose,Learn how context may matter,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Insulin Resistance,Blood Sugar After Meals,Explore post-meal glucose,Learn what can shape patterns,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Insulin Resistance,Brain Health Research,Explore metabolic brain health,Learn carefully framed research,https://www.mindfuldiabetes.ai/resources/brain-health-and-alzheimers
MD | Search | A1C Education,All Health Resources,Browse free educational guides,Explore blood sugar and brain,https://www.mindfuldiabetes.ai/resources
MD | Search | A1C Education,Insulin Resistance,Learn insulin resistance basics,Understand insulin and glucose,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | A1C Education,Understanding A1C,Learn what A1C can reflect,Put A1C into broader context,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,Fasting Glucose Guide,Understand fasting glucose,Learn how context may matter,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | A1C Education,Blood Sugar After Meals,Explore post-meal glucose,Learn what can shape patterns,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | A1C Education,Brain Health Research,Explore metabolic brain health,Learn carefully framed research,https://www.mindfuldiabetes.ai/resources/brain-health-and-alzheimers
MD | Search | Post-Meal Blood Sugar,All Health Resources,Browse free educational guides,Explore blood sugar and brain,https://www.mindfuldiabetes.ai/resources
MD | Search | Post-Meal Blood Sugar,Insulin Resistance,Learn insulin resistance basics,Understand insulin and glucose,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Post-Meal Blood Sugar,Understanding A1C,Learn what A1C can reflect,Put A1C into broader context,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | Post-Meal Blood Sugar,Fasting Glucose Guide,Understand fasting glucose,Learn how context may matter,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Post-Meal Blood Sugar,Blood Sugar After Meals,Explore post-meal glucose,Learn what can shape patterns,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Brain Health Research,Explore metabolic brain health,Learn carefully framed research,https://www.mindfuldiabetes.ai/resources/brain-health-and-alzheimers
MD | Search | Fasting Glucose,All Health Resources,Browse free educational guides,Explore blood sugar and brain,https://www.mindfuldiabetes.ai/resources
MD | Search | Fasting Glucose,Insulin Resistance,Learn insulin resistance basics,Understand insulin and glucose,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Fasting Glucose,Understanding A1C,Learn what A1C can reflect,Put A1C into broader context,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | Fasting Glucose,Fasting Glucose Guide,Understand fasting glucose,Learn how context may matter,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Blood Sugar After Meals,Explore post-meal glucose,Learn what can shape patterns,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Fasting Glucose,Brain Health Research,Explore metabolic brain health,Learn carefully framed research,https://www.mindfuldiabetes.ai/resources/brain-health-and-alzheimers
MD | Search | Type 3 Diabetes,All Health Resources,Browse free educational guides,Explore blood sugar and brain,https://www.mindfuldiabetes.ai/resources
MD | Search | Type 3 Diabetes,Insulin Resistance,Learn insulin resistance basics,Understand insulin and glucose,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Type 3 Diabetes,Understanding A1C,Learn what A1C can reflect,Put A1C into broader context,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | Type 3 Diabetes,Fasting Glucose Guide,Understand fasting glucose,Learn how context may matter,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Type 3 Diabetes,Blood Sugar After Meals,Explore post-meal glucose,Learn what can shape patterns,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Type 3 Diabetes,Brain Health Research,Explore metabolic brain health,Learn carefully framed research,https://www.mindfuldiabetes.ai/resources/brain-health-and-alzheimers
