file_name,visual_title,source_or_method,license,attribution_required,alt_text
risk-wheel,Risk Wheel,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for The everyday connection
glucose-pathway,Glucose Pathway,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for What glucose does in the body
glucose-pathway,Glucose Pathway,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for How insulin helps regulate glucose
insulin-resistance,Insulin Resistance,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Insulin resistance
high-low,High Low,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for The brain needs steady support
vessel-brain,Vessel Brain,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Blood vessels and brain health
high-low,High Low,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for High blood sugar over time
high-low,High Low,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Low blood sugar and the brain
risk-wheel,Risk Wheel,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Diabetes and cognitive-health risk
risk-meaning,Risk Meaning,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for What increased risk actually means
vessel-brain,Vessel Brain,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Blood pressure and cholesterol
movement-menu,Movement Menu,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Physical activity
mindful-plate,Mindful Plate,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Food patterns
sleep-timeline,Sleep Timeline,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Sleep
risk-reduction,Risk Reduction,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for Smoking and alcohol
connection-cards,Connection Cards,Original ReportLab vector drawing in canonical generator,Created for this project,No,"Educational graphic for Hearing, vision, and social connection"
can-cannot,Can Cannot,Original ReportLab vector drawing in canonical generator,Created for this project,No,Educational graphic for What prevention can and cannot promise
