Campaign,Ad group,Keyword,Match type,Status,Final URL
MD | Search | Insulin Resistance,Insulin Resistance Education,what is insulin resistance,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,what is insulin resistance,Exact,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,insulin resistance explained,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,insulin resistance explained,Exact,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,how insulin resistance works,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,how insulin resistance works,Exact,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,insulin resistance and blood sugar,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,insulin resistance and blood sugar,Exact,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,insulin sensitivity vs resistance,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,insulin sensitivity vs resistance,Exact,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,insulin signaling and glucose,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,insulin signaling and glucose,Exact,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,learn about insulin resistance,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,learn about insulin resistance,Exact,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,insulin resistance education,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Insulin Resistance,Insulin Resistance Education,insulin resistance education,Exact,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | A1C Education,A1C Education,what is a1c,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,what is a1c,Exact,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,what does a1c mean,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,what does a1c mean,Exact,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,a1c test explained,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,a1c test explained,Exact,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,how does a1c work,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,how does a1c work,Exact,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,a1c and blood sugar,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,a1c and blood sugar,Exact,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,understanding a1c results,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,understanding a1c results,Exact,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,a1c blood test meaning,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,a1c blood test meaning,Exact,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,learn about a1c,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | A1C Education,A1C Education,learn about a1c,Exact,Paused,https://www.mindfuldiabetes.ai/resources/understanding-a1c
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,blood sugar after eating,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,blood sugar after eating,Exact,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,post meal blood sugar,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,post meal blood sugar,Exact,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
