claim,supporting_source,source_date,where_used,review_note
"Mindful Diabetes connects education, prevention, research awareness, and practical tools at the intersection of metaboli",Your Brain and Diabetes,2024,Mindful Diabetes mission,Draft fact-check source mapping; formal medical review pending.
"Glucose is one of the body's energy sources. The brain uses glucose, but it also depends on steady blood flow, oxygen, s",Your Brain and Diabetes,2024,What glucose does,Draft fact-check source mapping; formal medical review pending.
Insulin helps move glucose from the blood into cells. Diabetes care often includes supporting glucose levels near a pers,Your Brain and Diabetes,2024,How insulin helps,Draft fact-check source mapping; formal medical review pending.
Insulin resistance means cells do not respond to insulin as easily. The body may need more insulin to move glucose into ,Your Brain and Diabetes,2024,Insulin resistance,Draft fact-check source mapping; formal medical review pending.
The brain is sensitive to glucose changes. CDC notes that both high and low blood sugar can affect the brain and blood v,Your Brain and Diabetes,2024,The brain needs steady support,Draft fact-check source mapping; formal medical review pending.
"Blood vessels carry oxygen and nutrients to the brain. Diabetes, high blood pressure, and cholesterol concerns can affec",Your Brain and Diabetes,2024,Blood vessels and brain health,Draft fact-check source mapping; formal medical review pending.
Frequent hyperglycemia can stress blood vessels and nerves. Effects may build slowly and are not always obvious in the m,Your Brain and Diabetes,2024,High blood sugar over time,Draft fact-check source mapping; formal medical review pending.
"Hypoglycemia can cause shakiness, dizziness, confusion, trouble speaking, seizures, or loss of consciousness. It can be ",Your Brain and Diabetes,2024,Low blood sugar,Draft fact-check source mapping; formal medical review pending.
"Diabetes is associated with increased risk for cognitive problems and dementia, but it does not make dementia inevitable",Your Brain and Diabetes,2024,Diabetes and cognitive risk,Draft fact-check source mapping; formal medical review pending.
"Risk describes probability across groups. It cannot tell you what will happen to one person. Habits, medical care, socia",Your Brain and Diabetes,2024,What increased risk means,Draft fact-check source mapping; formal medical review pending.
Managing blood pressure and cholesterol can support heart and brain health. NIA and CDC identify vascular health as part,Your Brain and Diabetes,2024,Blood pressure and cholesterol,Draft fact-check source mapping; formal medical review pending.
"Regular physical activity can support cardiovascular, metabolic, mood, sleep, and brain health. Start with what is safe ",Your Brain and Diabetes,2024,Physical activity,Draft fact-check source mapping; formal medical review pending.
"Food patterns that include vegetables, fruits, legumes, whole grains, lean or plant proteins, and unsaturated fat source",Your Brain and Diabetes,2024,Food patterns,Draft fact-check source mapping; formal medical review pending.
"Sleep problems can affect mood, energy, glucose patterns, and daily decision-making. A realistic sleep plan may require ",Your Brain and Diabetes,2024,Sleep,Draft fact-check source mapping; formal medical review pending.
Smoking and excessive alcohol use are dementia risk factors identified by public-health sources and dementia-prevention ,Your Brain and Diabetes,2024,Smoking and alcohol,Draft fact-check source mapping; formal medical review pending.
"Hearing loss, vision problems, depression, and social isolation can affect cognitive health and quality of life. [2,3,4]",Your Brain and Diabetes,2024,"Hearing, vision, and connection",Draft fact-check source mapping; formal medical review pending.
"Bring questions about A1C, blood pressure, cholesterol, medicines, low-glucose risk, memory changes, sleep, hearing, and",Your Brain and Diabetes,2024,Questions for a clinician,Draft fact-check source mapping; formal medical review pending.
Healthy routines may help reduce risk and support daily function. They do not guarantee prevention of Alzheimer's diseas,Your Brain and Diabetes,2024,What prevention can and cannot promise,Draft fact-check source mapping; formal medical review pending.
